Detector,Descriptor,Image,Total Keypoints,Keypoints on vehicle,Ratio,Detector Time,Descriptor Time,Time Together,Matches
HARRIS,BRIEF,0,115,17,0.14782608695652175,12.7005,0.427948,13.128448,0
HARRIS,BRIEF,1,98,14,0.14285714285714285,10.4589,0.605608,11.064508,13
HARRIS,BRIEF,2,113,18,0.1592920353982301,9.97694,0.621574,10.598514000000002,13
HARRIS,BRIEF,3,121,21,0.17355371900826447,9.90432,0.610719,10.515039,15
HARRIS,BRIEF,4,160,26,0.1625,9.90695,0.650215,10.557165,17
HARRIS,BRIEF,5,383,43,0.1122715404699739,13.2387,0.711686,13.950386,24
HARRIS,BRIEF,6,85,18,0.21176470588235294,10.1235,0.616225,10.739725,16
HARRIS,BRIEF,7,210,31,0.14761904761904762,10.2719,0.667547,10.939447000000001,16
HARRIS,BRIEF,8,171,26,0.15204678362573099,10.0039,0.626886,10.630786,24
HARRIS,BRIEF,9,281,34,0.12099644128113879,10.8723,0.647852,11.520152,23
HARRIS,BRIEF,AVG,173.7,24.8,0.15307275030984033,10.745791,0.618626,11.364417,16.1
""
HARRIS,ORB,0,115,17,0.14782608695652175,11.6192,0.691443,12.310642999999999,0
HARRIS,ORB,1,98,14,0.14285714285714285,10.4419,0.748652,11.190552,13
HARRIS,ORB,2,113,18,0.1592920353982301,10.4209,0.755545,11.176445,13
HARRIS,ORB,3,121,21,0.17355371900826447,10.3717,0.749967,11.121667,14
HARRIS,ORB,4,160,26,0.1625,10.3296,0.770704,11.100304,18
HARRIS,ORB,5,383,43,0.1122715404699739,13.4824,0.797518,14.279918,24
HARRIS,ORB,6,85,18,0.21176470588235294,10.2597,0.761725,11.021425,16
HARRIS,ORB,7,210,31,0.14761904761904762,11.4938,0.783552,12.277352,15
HARRIS,ORB,8,171,26,0.15204678362573099,10.7361,0.77283,11.508930000000001,23
HARRIS,ORB,9,281,34,0.12099644128113879,11.3222,0.791452,12.113652,23
HARRIS,ORB,AVG,173.7,24.8,0.15307275030984033,11.04775,0.7623388,11.8100888,15.9
""
HARRIS,FREAK,0,115,17,0.14782608695652175,12.1184,32.849,44.9674,0
HARRIS,FREAK,1,98,14,0.14285714285714285,9.91888,30.6088,40.52768,12
HARRIS,FREAK,2,113,18,0.1592920353982301,7.05208,31.201,38.25308,13
